code	creator	created_t	last_modified_t	product_name	quantity	manufacturing_places	stores	countries	ingredients_text
3270190200802	openfoodfacts-contributors	1388749752	1483393851	Jambon de Paris, Cuit à l'étouffée (4 Tranches)	180 g	Madrange - ZI du Ponteix - Le Vieux Crézin - 87220 Feytiat,Haute-Vienne,Limousin,France	Carrefour	Belgique,France	Jambon de porc frais, sel, bouillon de porc (eau, os et viande de porc), sirop de glucose de blé ou de maïs, dextrose de blé ou de maïs, antioxydant : érythorbate de sodium, acidifiant : lactate de sodium, conservateur : nitrite de sodium.  
3560070531714	florian-pons	1388311830	1480085378	Muesli croustillant Graines de courge et de tournesol	500 g	France	Carrefour	France, en:switzerland, en:belgium	Céréales Bio 61,2% [flocons d'_avoine_ bio, riz bio, farine de _blé_ bio, pétales de _blé_ bio (_blé_ bio, émulsifiant : lécithine de tournesol), _avoine_ bio, _orge_ bio], sucre de canne bio complet, graines bio 9% (graines de courge bio 5,4%, graines de tournesol bio 3,6%), raisins bio secs (raisin secs Bio, huile de tournesol), graisse de palme bio non hydrogénée, sirop de glucose bio, fibre de pomme bio, sirop de malt d'_orge_ bio, cannelle bio.
3270190021179	marcussacapuces91	1362424396	1484561536	6 Oeufs Frais Bio	6 oeufs	France	Carrefour Market,Carrefour	France, en:belgium, en:switzerland	_Œufs_ frais de poules élevées en plein air* - issus de l'agriculture biologique - Œufs de catégorie A   
3270190136835	openfoodfacts-contributors	1361701101	1479452799	Carrefour BIO Muesli 30% de fruits	500 g		Carrefour	France	Céréales 69,5% (son fin de _blé_, flocons de _blé_, flocons d'_avoine_, farine de _blé_, flakes de _blé_ (_blé_, émulsifiant : lécithine de tournesol), flocons d'_orge_, flocons de _seigle_), fruits 30% (raisins 15,7%, pommes 3,4%, _amandes_ effilées 3,4%, abricots 3%, _noisettes_ hachées grillées 2,5%, _noisettes_ entières 2%), sirop de malt d'_orge_, sel de mer, arôme naturel d'abricot et autres arômes naturels
3245411640620	openfoodfacts-contributors	1364802194	1480085311	Boisson cacaotée	500g		Carrefour	France,Grèce,Espagne, en:belgium	Sucre de canne 67,8%*, cacao fortement dégraissé : 32% minimum* (à 11% de beurre de cacao), arôme naturel de vanille avec autres arômes naturels.
3560070820597	jeanbono	1390218433	1480085300	100 % Pur fruit pressé, jus de pomme bio	1 L	Jus de Fruits d'Alsace - JFA (Filiale Laiterie de Saint-Denis-de-l'Hôtel - LSDH) - Zone Industrielle Rimsdorf - 67260 Sarre-Union,Bas-Rhin,Alsace-Champagne-Ardenne-Lorraine,France	Carrefour	France, en:switzerland	Jus de pomme issu de l'agriculture biologique.
3270190198611	openfoodfacts-contributors	1371757933	1460925204	Muesli croustillant quinoa et chocolat	500 g	France	Carrefour,Carrefour Market	France	
3560070211296	aristoi	1394845612	1480085307	Pizza Venezia cuite au feu de bois	390 g	Italie	Carrefour	Guadeloupe, en:france	Garniture 55,1% : Purée et pulpe de tomates, mozzarella 18,1%*, tomates séchées 10,7%* (tomates séchées 9,3%*, sel, huile de tournesol, correcteur d'acidité : acide citrique, antioxydant : acide ascorbique), aubergines grillées 8,9%*, courgettes grillées 8,9%*, mascarpone 8,4%* (crème, correcteur d'acidité : acide citrique), eau, asperges vertes 4,6%*, Grana Padano 3,7%* (lait, sel, présure, conservateur : lysozyme d'œuf), huile d'olive vierge extra, oignons grillés, huile de tournesol, sauce au basilic (basilic, huile de tournesol, sel, antioxydant : acide ascorbique), lait écrémé réhydraté, dextrose de blé, sel, arôme naturel d'ail, origan, poivre noir. (*Pourcentages exprimés sur la garniture). Pâte 44,9% : Farine de blé, eau, lait écrémé réhydraté, huile de tournesol, protéines de lait, levure, sel, gluten de blé, farine de blé malté, alfa amylase, agent de traitement de la farine : acide ascorbique.
3245413458513	miles67off	1379042461	1464330205	crackers épeautre 3 graines	200 g	Allemagne	Carrefour	France	Farine complète d'_épeautre_ bio 55%, graines de tournesol bio 16%, _graines de sésame_ bio 6%, farine d'épeautre bio 6%, huile d'olive vierge extra bio 3%, flocons d'_avoine_ bio, graines de lin bio 3%, sel de mer, levure, extrait de malt d'_orge_ bio.  
3245413504531	miles67off	1378858862	1480085289	Galettes de riz complet goût choco-noisettes	120 g (6 x 20 g)	Belgique	Carrefour	France, en:belgium	Riz complet* 50%, graisses végétales* non hydrogénées, sucre de canne*, sirop de riz en poudre*, pâte de _noisettes_* 9,9%, cacao maigre en poudre* 3,75%, sel marin, arôme naturel de vanille*.    *bio.
3270190205685	sebleouf	1378299558	1480085280	Œufs	12 oeufs	Pampr'oeuf Distribution - Les Brélières - 79800 Pamproux,Deux-Sèvres,Poitou-Charentes,France	Carrefour	France, en:belgium, en:switzerland	Œufs de poules élevées en plein air.
3270190128403	miles67off	1377477901	1458052431	Lentilles vertes Bio	500 g	Chaspuzac,Haute-Loire,Auvergne,France	Carrefour	France	Lentilles vertes issues de l'agriculture biologique.
3270190207696	openfoodfacts-contributors	1366890340	1480446601	Emmental Français Râpé (28 % MG)	200 g	Société Fromagère de Charchigné (Filiale Groupe Lactalis) - Route de Lassay - 53250 Charchigné,Mayenne,Société Fromagère de Bouvron (Filiale Groupe Lactalis) - Route de Fay-de-Bretagne - 44130 Bouvron,Loire-Atlantique,Pays de la Loire,France	Carrefour,Carrefour market,Dia	France	_lait_ pasteurisé de vache, sel, ferments _lactiques_, enzyme coagulante
3560070157198	vilain-mamuth	1363028882	1484561342	Parmigiano rapé	100 g	Colla SpA,Piazzale Europa,4 Fontevivo,Italy	Carrefour,Dia	France,Spain	_Lait_, Sel, Présure
3560070614172	openfoodfacts-contributors	1425496118	1483885607	Corn Flakes 	500 g	France	Carrefour	France	Maïs bio 94%, extrait de malt d'_orge_ bio, sel marin, émulsifiant : lécithine de tournesol.
3560070419395	jeanbono	1382198989	1435137127	Filets de Sardine (au Naturel)	100 g (70 g de poisson)	Conserverie Chancerelle - ZI de Lannugat - 29100 Douarnenez,Finistère,Bretagne,France	Carrefour	France	Filets de sardines (Sardina pilchardus), eau, sel.
3560070478781	miles67off	1384556098	1425838552	Pain d'épices au miel Bio	300 g	France	Carrefour	France	Sirop de sucre de canne inverti bio, farine de _seigle_ bio 35 %, _oeufs_ bio, miel bio 5,8 %, poudre à lever : carbonates de sodium, sel marin, cannelle bio 0,42 %, anis bio 0,17 %.
3245390089854	vilain-mamuth	1363200319	1483818236	Galettes de sarrasin	300g		Carrefour	France	Eau, farine de sarrasin 33%, sel de Guérande 1%, huile de tournesol
